Navn;Fødselsår;Dødsår;Regeringsstart;Regeringsslut
Gorm den Gamle;908-918;958;936;958
Harald 1. Blåtand;n/a;987;958;987
Svend Tveskæg;n/a;1014;987;1014
Harald 2.;n/a;1018;1014;1018
Knud 2. den Store;ca. 995;1035;1018;1035
Hardeknud;1020;1042;1035;1042
Magnus den Gode;1024;1047;1042;1047
Svend 2. Estridsen;n/a;1076;1047;1074
Harald 3. Hen;n/a;1080;1074;1080
Knud 2. den Hellige;n/a;1086;1080;1086
Oluf 1. Hunger;n/a;1095;1086;1095
Erik 1. Ejegod;ca. 1056;1103;1095;1103
Niels;n/a;1134;1104;1134
Erik 2. Emune;n/a;1137;1134;1137
Erik 3. Lam;n/a;1146;1137;1146
Valdemar 1. den Store;1131;1182;1157;1182
Knud 4.;1163;1202;1182;1202
Valdemar 2. Sejr;1170;1241;1202;1241
Erik 4. Plovpenning;1216;1250;1241;1250
Abel;1218;1252;1250;1252
Christoffer 1.;1219;1259;1252;1259
Erik 5. Klipping;1249;1286;1259;1286
Erik 6. Menved;1274;1319;1286;1319
Christoffer 2.;1276;1332;1319;1326
Valdemar 3.;1314;1364;1326;1329
Christoffer 2.;1276;1332;1329;1332
Valdemar 4. Atterdag;1320;1375;1340;1375
Oluf 2.;1370;1387;1375;1387
Margrete 1.;1353;1412;1387;1396
Erik 7. af Pommern;1382;1459;1396;1439
Christoffer 3. af Bayern;1416;1448;1440;1448
Christian 1.;1426;1481;1448;1481
Hans;1455;1513;1482;1513
Christian 2.;1481;1559;1513;1523
Frederik 1.;1471;1533;1523;1533
Christian 3.;1503;1559;1536;1559
Frederik 2.;1534;1588;1559;1588
Christian 4.;1577;1648;1588;1648
Frederik 3.;1609;1670;1648;1670
Christian 5.;1646;1699;1670;1699
Frederik 4.;1671;1730;1699;1730
Christian 6.;1699;1746;1730;1746
Frederik 5.;1723;1766;1746;1766
Christian 7.;1749;1808;1766;1808
Frederik 6.;1768;1839;1808;1839
Christian 8.;1786;1848;1839;1848
Frederik 7.;1808;1863;1848;1863
Christian 9.;1818;1906;1863;1906
Frederik 8.;1843;1912;1906;1912
Christian 10.;1870;1947;1912;1947
Frederik 9.;1899;1972;1947;1972
Margrethe 2.;1940;n/a;1972;2024
Frederik 10.;1968;n/a;2024;n/a
